,Words (split by space),anger,disgust,fear,joy,sad,surprise
1,senator carl krueger thinks ipods can kill you,0.095006,0.043331,0.045899,0.118706,0.189834,0.507224
2,who is prince frederic von anhalt,0.051288,0.149765,0.074851,0.169872,0.254686,0.299538
3,prestige has magic touch,0.000000,0.000000,0.021267,0.414662,0.171795,0.392275
4,study female seals picky about mates,0.039920,0.055918,0.081581,0.373439,0.067694,0.381447
5,no e book for harry potter vii,0.061530,0.053377,0.017529,0.285746,0.259715,0.322103
6,blair apologises over friendly fire inquest,0.104657,0.053617,0.210492,0.032697,0.529139,0.069399
7,vegetables may boost brain power in older adults,0.000000,0.000000,0.092307,0.445576,0.000078,0.462039
8,afghan forces retake town that was overrun by taliban,0.197672,0.000000,0.310407,0.075635,0.332469,0.083817
9,skip the showers male sweat turns women on study says,0.000000,0.140550,0.000000,0.177492,0.000000,0.681958
10,made in china irks some burberry shoppers,0.131208,0.105110,0.166963,0.072518,0.166547,0.357653
11,britain to restrict immigrants from new eu members,0.156076,0.019886,0.245078,0.194326,0.207121,0.177513
12,canadian breakthrough offers hope on autism,0.055321,0.000000,0.114751,0.426937,0.112366,0.290625
13,russia to strengthen its military muscle,0.121266,0.071090,0.313739,0.181723,0.187140,0.125042
14,alzheimer s drugs offer no help study finds,0.112509,0.048299,0.083737,0.239050,0.147047,0.369357
15,uk police slammed over terror raid,0.166304,0.134371,0.418794,0.019022,0.213295,0.048214
16,no rejects police state claim,0.200546,0.098966,0.363251,0.015892,0.167070,0.154275
17,oprah announces new book club pick,0.062776,0.115293,0.071340,0.396121,0.167084,0.187386
18,smith can t be buried until hearing,0.127598,0.043916,0.178599,0.060266,0.139477,0.450144
19,african nation hopes whoopi can help,0.095395,0.031502,0.136232,0.360457,0.174644,0.201770
20,tourism lags in bush s hometown,0.068539,0.004548,0.185214,0.438925,0.085669,0.217105
21,air france klm profit rises,0.180226,0.073880,0.191524,0.253219,0.192488,0.108662
22,au regrets sudan s expulsion of un envoy,0.203408,0.066150,0.078010,0.101798,0.182394,0.368241
23,taiwan s mr clean indicted steps down,0.046023,0.011317,0.165350,0.353065,0.240455,0.183789
24,martian life could have evaded detection by viking landers,0.117164,0.000340,0.062188,0.002144,0.119301,0.698862
25,turner pays for boston bombing,0.100280,0.068653,0.322032,0.126451,0.208580,0.174004
26,serena misses bangalore tournament,0.045016,0.046506,0.186568,0.211360,0.255447,0.255104
27,attorneys point fingers in fight between ryan o neal and son,0.005588,0.019663,0.152356,0.371725,0.175134,0.275533
28,pledge i was abused in frat hazing,0.038877,0.044279,0.230132,0.233404,0.140200,0.313108
